x	xend	y	yend	key	showSelected1	PANEL
0.55	1.45	-0.0922074380970889	-0.0922074380970889	1	1	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	1	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	1	1
0.55	4.45	-0.0325187830685304	-0.0325187830685304	1	1	1
0.55	5.45	-0.00693111343908784	-0.00693111343908784	1	1	1
0.55	6.45	0.0200928471209168	0.0200928471209168	1	1	1
0.55	7.45	0.0113305857848028	0.0113305857848028	1	1	1
0.55	8.45	0.0214567840800413	0.0214567840800413	1	1	1
0.55	9.45	0.0118634912283862	0.0118634912283862	1	1	1
0.55	10.45	0.00938452466112057	0.00938452466112057	1	1	1
0.55	11.45	0.00263294500239557	0.00263294500239557	1	1	1
0.55	12.45	0.000860685073941691	0.000860685073941691	1	1	1
0.55	13.45	-0.00183749957312405	-0.00183749957312405	1	1	1
0.55	14.45	-0.00624217405405505	-0.00624217405405505	1	1	1
0.55	15.45	0.00022750001676946	0.00022750001676946	1	1	1
0.55	16.45	0.00636987782524794	0.00636987782524794	1	1	1
0.55	17.45	0.00866761614417488	0.00866761614417488	1	1	1
0.55	18.45	0.00573917454138621	0.00573917454138621	1	1	1
0.55	19.45	0.00543711272341852	0.00543711272341852	1	1	1
0.55	20.45	0.00826037903354293	0.00826037903354293	1	1	1
0.55	21.45	0.00386396742297068	0.00386396742297068	1	1	1
0.55	22.45	0.00303581922296882	0.00303581922296882	1	1	1
0.55	23.45	0.0052036074494539	0.0052036074494539	1	1	1
0.55	24.45	0.00291884181720163	0.00291884181720163	1	1	1
0.55	25.45	0.00618890110399319	0.00618890110399319	1	1	1
0.55	26.45	0.00844769247235263	0.00844769247235263	1	1	1
0.55	27.45	0.00588521653420333	0.00588521653420333	1	1	1
0.55	28.45	0.00740403755745485	0.00740403755745485	1	1	1
0.55	29.45	0.00249775852640082	0.00249775852640082	1	1	1
0.55	30.45	-0.000794228526425993	-0.000794228526425993	1	1	1
0.55	31.45	-0.00196314795928215	-0.00196314795928215	1	1	1
0.55	32.45	0.000600947643279535	0.000600947643279535	1	1	1
0.55	33.45	-0.00113191526610371	-0.00113191526610371	1	1	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	1	1
0.55	35.45	0.0120887371176027	0.0120887371176027	1	1	1
0.55	36.45	0.0285262863900817	0.0285262863900817	1	1	1
0.55	37.45	0.0390245590877372	0.0390245590877372	1	1	1
0.55	38.45	0.0441677352600868	0.0441677352600868	1	1	1
0.55	39.45	0.0476381691512031	0.0476381691512031	1	1	1
0.55	40.45	0.0589016832869003	0.0589016832869003	1	1	1
1.55	2.45	-0.0799753767205959	-0.0799753767205959	2	2	1
0.55	1.45	-0.0922074380970889	-0.0922074380970889	1	2	1
2.55	3.45	-0.0243196791954129	-0.0243196791954129	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
3.55	4.45	0.0664273617389761	0.0664273617389761	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	5.45	0.0809234634088293	0.0809234634088293	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	6.45	0.105686525579533	0.105686525579533	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	7.45	0.0689541486266793	0.0689541486266793	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	8.45	0.0736313533306856	0.0736313533306856	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	9.45	0.0505456525114289	0.0505456525114289	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
3.55	10.45	0.0414782486606148	0.0414782486606148	2	2	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	2	1
2.55	11.45	0.0223494677604485	0.0223494677604485	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	12.45	0.0182511035704985	0.0182511035704985	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	13.45	0.0134813927606429	0.0134813927606429	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	14.45	0.00706603150507618	0.00706603150507618	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	15.45	0.0135073319284021	0.0135073319284021	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	16.45	0.0195786328586894	0.0195786328586894	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	17.45	0.0213021526179105	0.0213021526179105	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	18.45	0.0172179972851648	0.0172179972851648	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	19.45	0.0162051739154492	0.0162051739154492	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	20.45	0.0187439108604746	0.0187439108604746	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	21.45	0.0133329542473721	0.0133329542473721	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	22.45	0.0119485418861499	0.0119485418861499	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	23.45	0.0138983707692916	0.0138983707692916	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	24.45	0.0110106826559329	0.0110106826559329	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	25.45	0.0142132757572832	0.0142132757572832	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	26.45	0.0163259507957855	0.0163259507957855	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	27.45	0.013243346449647	0.013243346449647	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	28.45	0.0145959948625546	0.0145959948625546	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	29.45	0.00905991896604846	0.00905991896604846	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	30.45	0.00529842710803232	0.00529842710803232	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	31.45	0.00383880096827372	0.00383880096827372	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	32.45	0.00638043798008766	0.00638043798008766	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	33.45	0.00434934229149234	0.00434934229149234	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
2.55	34.45	0.0062892803992262	0.0062892803992262	2	2	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	2	1
34.55	35.45	0.394031641158542	0.394031641158542	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
34.55	36.45	0.498936076042694	0.498936076042694	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
34.55	37.45	0.471611509429574	0.471611509429574	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
34.55	38.45	0.412324945481437	0.412324945481437	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
34.55	39.45	0.365762887787873	0.365762887787873	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
34.55	40.45	0.38783219558641	0.38783219558641	2	2	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	2	1
2.55	3.45	-0.0521475279580044	-0.0521475279580044	3	3	1
1.55	2.45	-0.0521475279580044	-0.0521475279580044	2	3	1
0.55	1.45	-0.0922074380970889	-0.0922074380970889	1	3	1
3.55	4.45	0.0210538412717816	0.0210538412717816	3	3	1
2.55	3.45	0.0210538412717816	0.0210538412717816	2	3	1
0.55	2.45	-0.0860914074088424	-0.0860914074088424	1	3	1
4.55	5.45	0.0809234634088293	0.0809234634088293	3	3	1
3.55	4.45	0.0809234634088293	0.0809234634088293	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
5.55	6.45	0.105686525579533	0.105686525579533	3	3	1
3.55	5.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	7.45	-0.0412429822318813	-0.0412429822318813	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	8.45	0.0255485949574147	0.0255485949574147	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	9.45	-0.00459522055667504	-0.00459522055667504	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	10.45	-0.00667795902857378	-0.00667795902857378	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	11.45	-0.0183189375398299	-0.0183189375398299	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	12.45	-0.0183714769730334	-0.0183714769730334	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	13.45	-0.0206349395965876	-0.0206349395965876	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	14.45	-0.0259934399352839	-0.0259934399352839	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	15.45	-0.0130160647193288	-0.0130160647193288	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	16.45	-0.00186390375215338	-0.00186390375215338	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	17.45	0.00243567197504293	0.00243567197504293	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	18.45	-0.00143766174837909	-0.00143766174837909	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	19.45	-0.00132707238311916	-0.00132707238311916	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	20.45	0.00318932128181128	0.00318932128181128	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	21.45	-0.00262758445620778	-0.00262758445620778	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	22.45	-0.00336056623876167	-0.00336056623876167	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	23.45	-5.14183169447776e-05	-5.14183169447776e-05	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	24.45	-0.00280582661737009	-0.00280582661737009	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	25.45	0.00179818130917521	0.00179818130917521	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	26.45	0.00495414607778338	0.00495414607778338	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	27.45	0.00182589350942805	0.00182589350942805	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	28.45	0.00394345313105613	0.00394345313105613	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	29.45	-0.00209226458521205	-0.00209226458521205	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	30.45	-0.00601599743826169	-0.00601599743826169	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	31.45	-0.00725658677852991	-0.00725658677852991	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	32.45	-0.00389718300540599	-0.00389718300540599	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	33.45	-0.00584852912988605	-0.00584852912988605	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
6.55	34.45	-0.00326724731314097	-0.00326724731314097	3	3	1
3.55	6.45	0.105686525579533	0.105686525579533	2	3	1
0.55	3.45	-0.0655008313376992	-0.0655008313376992	1	3	1
34.55	35.45	0.230229501448759	0.230229501448759	3	3	1
33.55	34.45	0.230229501448759	0.230229501448759	2	3	1
0.55	33.45	-0.00113191526610371	-0.00113191526610371	1	3	1
35.55	36.45	0.498936076042694	0.498936076042694	3	3	1
34.55	35.45	0.498936076042694	0.498936076042694	2	3	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	3	1
36.55	37.45	0.416962376203336	0.416962376203336	3	3	1
34.55	36.45	0.498936076042694	0.498936076042694	2	3	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	3	1
37.55	38.45	0.234465253637023	0.234465253637023	3	3	1
34.55	37.45	0.471611509429574	0.471611509429574	2	3	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	3	1
37.55	39.45	0.206989955325322	0.206989955325322	3	3	1
34.55	37.45	0.471611509429574	0.471611509429574	2	3	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	3	1
37.55	40.45	0.304052881743245	0.304052881743245	3	3	1
34.55	37.45	0.471611509429574	0.471611509429574	2	3	1
0.55	34.45	0.000855122292869227	0.000855122292869227	1	3	1
