fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#132B43	1	1	3	-1	0.5	1.5	0.5	1.5
#132B43	2	1	3	-1	1.5	2.5	0.5	1.5
#132B43	3	1	3	-1	2.5	3.5	0.5	1.5
#142D45	4	1	3	-1	3.5	4.5	0.5	1.5
#152E47	5	1	3	-1	4.5	5.5	0.5	1.5
#16314B	6	1	3	-1	5.5	6.5	0.5	1.5
#16314B	7	1	3	-1	6.5	7.5	0.5	1.5
#16324C	8	1	3	-1	7.5	8.5	0.5	1.5
#17324D	9	1	3	-1	8.5	9.5	0.5	1.5
#17324D	10	1	3	-1	9.5	10.5	0.5	1.5
#17334E	11	1	3	-1	10.5	11.5	0.5	1.5
#17334E	12	1	3	-1	11.5	12.5	0.5	1.5
#17334E	13	1	3	-1	12.5	13.5	0.5	1.5
#17344E	14	1	3	-1	13.5	14.5	0.5	1.5
#183450	15	1	3	-1	14.5	15.5	0.5	1.5
#183651	16	1	3	-1	15.5	16.5	0.5	1.5
#183651	17	1	3	-1	16.5	17.5	0.5	1.5
#193652	18	1	3	-1	17.5	18.5	0.5	1.5
#193652	19	1	3	-1	18.5	19.5	0.5	1.5
#193652	20	1	3	-1	19.5	20.5	0.5	1.5
#193753	21	1	3	-1	20.5	21.5	0.5	1.5
#193754	22	1	3	-1	21.5	22.5	0.5	1.5
#193854	23	1	3	-1	22.5	23.5	0.5	1.5
#1A3854	24	1	3	-1	23.5	24.5	0.5	1.5
#1A3955	25	1	3	-1	24.5	25.5	0.5	1.5
#1A3956	26	1	3	-1	25.5	26.5	0.5	1.5
#1A3957	27	1	3	-1	26.5	27.5	0.5	1.5
#1A3A57	28	1	3	-1	27.5	28.5	0.5	1.5
#1C3C5A	29	1	3	-1	28.5	29.5	0.5	1.5
#1C3D5B	30	1	3	-1	29.5	30.5	0.5	1.5
#1C3D5B	31	1	3	-1	30.5	31.5	0.5	1.5
#1D3E5D	32	1	3	-1	31.5	32.5	0.5	1.5
#1D3E5D	33	1	3	-1	32.5	33.5	0.5	1.5
#1D3F5E	34	1	3	-1	33.5	34.5	0.5	1.5
#265176	35	1	3	-1	34.5	35.5	0.5	1.5
#3B7BAF	36	1	3	-1	35.5	36.5	0.5	1.5
#458FC9	37	1	3	-1	36.5	37.5	0.5	1.5
#4794D0	38	1	3	-1	37.5	38.5	0.5	1.5
#4996D3	39	1	3	-1	38.5	39.5	0.5	1.5
#56B1F7	40	1	3	-1	39.5	40.5	0.5	1.5
#132B43	2	2	3	-1	1.5	2.5	1.5	2.5
#132B43	3	2	3	-1	2.5	3.5	1.5	2.5
#132B43	4	2	3	-1	3.5	4.5	1.5	2.5
#132B43	5	2	3	-1	4.5	5.5	1.5	2.5
#132C44	6	2	3	-1	5.5	6.5	1.5	2.5
#142E46	7	2	3	-1	6.5	7.5	1.5	2.5
#142E46	8	2	3	-1	7.5	8.5	1.5	2.5
#152F49	9	2	3	-1	8.5	9.5	1.5	2.5
#153049	10	2	3	-1	9.5	10.5	1.5	2.5
#16314B	11	2	3	-1	10.5	11.5	1.5	2.5
#16314B	12	2	3	-1	11.5	12.5	1.5	2.5
#16314B	13	2	3	-1	12.5	13.5	1.5	2.5
#16324C	14	2	3	-1	13.5	14.5	1.5	2.5
#17334D	15	2	3	-1	14.5	15.5	1.5	2.5
#17334E	16	2	3	-1	15.5	16.5	1.5	2.5
#17334E	17	2	3	-1	16.5	17.5	1.5	2.5
#17344F	18	2	3	-1	17.5	18.5	1.5	2.5
#18344F	19	2	3	-1	18.5	19.5	1.5	2.5
#18344F	20	2	3	-1	19.5	20.5	1.5	2.5
#183551	21	2	3	-1	20.5	21.5	1.5	2.5
#183551	22	2	3	-1	21.5	22.5	1.5	2.5
#183551	23	2	3	-1	22.5	23.5	1.5	2.5
#193652	24	2	3	-1	23.5	24.5	1.5	2.5
#193653	25	2	3	-1	24.5	25.5	1.5	2.5
#193753	26	2	3	-1	25.5	26.5	1.5	2.5
#193754	27	2	3	-1	26.5	27.5	1.5	2.5
#193854	28	2	3	-1	27.5	28.5	1.5	2.5
#1B3A57	29	2	3	-1	28.5	29.5	1.5	2.5
#1B3B59	30	2	3	-1	29.5	30.5	1.5	2.5
#1B3B59	31	2	3	-1	30.5	31.5	1.5	2.5
#1C3C5A	32	2	3	-1	31.5	32.5	1.5	2.5
#1C3D5B	33	2	3	-1	32.5	33.5	1.5	2.5
#1C3D5B	34	2	3	-1	33.5	34.5	1.5	2.5
#1D3F5E	35	2	3	-1	34.5	35.5	1.5	2.5
#1E4161	36	2	3	-1	35.5	36.5	1.5	2.5
#1F4262	37	2	3	-1	36.5	37.5	1.5	2.5
#214768	38	2	3	-1	37.5	38.5	1.5	2.5
#244C6F	39	2	3	-1	38.5	39.5	1.5	2.5
#254E72	40	2	3	-1	39.5	40.5	1.5	2.5
#132B43	3	3	3	-1	2.5	3.5	2.5	3.5
#132B44	4	3	3	-1	3.5	4.5	2.5	3.5
#132B43	5	3	3	-1	4.5	5.5	2.5	3.5
#132C44	6	3	3	-1	5.5	6.5	2.5	3.5
#132C44	7	3	3	-1	6.5	7.5	2.5	3.5
#142D45	8	3	3	-1	7.5	8.5	2.5	3.5
#142D46	9	3	3	-1	8.5	9.5	2.5	3.5
#142D46	10	3	3	-1	9.5	10.5	2.5	3.5
#142E47	11	3	3	-1	10.5	11.5	2.5	3.5
#142E47	12	3	3	-1	11.5	12.5	2.5	3.5
#142E47	13	3	3	-1	12.5	13.5	2.5	3.5
#142E47	14	3	3	-1	13.5	14.5	2.5	3.5
#152F49	15	3	3	-1	14.5	15.5	2.5	3.5
#16304A	16	3	3	-1	15.5	16.5	2.5	3.5
#16314B	17	3	3	-1	16.5	17.5	2.5	3.5
#16314B	18	3	3	-1	17.5	18.5	2.5	3.5
#16314B	19	3	3	-1	18.5	19.5	2.5	3.5
#16314B	20	3	3	-1	19.5	20.5	2.5	3.5
#17324D	21	3	3	-1	20.5	21.5	2.5	3.5
#17324D	22	3	3	-1	21.5	22.5	2.5	3.5
#17324D	23	3	3	-1	22.5	23.5	2.5	3.5
#17334D	24	3	3	-1	23.5	24.5	2.5	3.5
#17334E	25	3	3	-1	24.5	25.5	2.5	3.5
#18344F	26	3	3	-1	25.5	26.5	2.5	3.5
#183450	27	3	3	-1	26.5	27.5	2.5	3.5
#183550	28	3	3	-1	27.5	28.5	2.5	3.5
#193753	29	3	3	-1	28.5	29.5	2.5	3.5
#193854	30	3	3	-1	29.5	30.5	2.5	3.5
#193854	31	3	3	-1	30.5	31.5	2.5	3.5
#1A3955	32	3	3	-1	31.5	32.5	2.5	3.5
#1A3956	33	3	3	-1	32.5	33.5	2.5	3.5
#1A3956	34	3	3	-1	33.5	34.5	2.5	3.5
#204565	35	3	3	-1	34.5	35.5	2.5	3.5
#1E4161	36	3	3	-1	35.5	36.5	2.5	3.5
#1E4161	37	3	3	-1	36.5	37.5	2.5	3.5
#1F4262	38	3	3	-1	37.5	38.5	2.5	3.5
#1F4262	39	3	3	-1	38.5	39.5	2.5	3.5
#22496B	40	3	3	-1	39.5	40.5	2.5	3.5
